[13-Dec-2013 17:03:43 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:03:44 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:03:44 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:03:51 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:20:48 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:20:50 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:22:01 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:22:06 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
[13-Dec-2013 17:40:21 Europe/Berlin] PHP Notice:  Undefined variable: themeselector in C:\p2\xampp\htdocs\getsimplecms1\admin\theme-edit.php on line 86
[13-Dec-2013 17:40:50 Europe/Berlin] PHP Notice:  Undefined variable: themeselector in C:\p2\xampp\htdocs\getsimplecms1\admin\theme-edit.php on line 86
[13-Dec-2013 17:40:52 Europe/Berlin] PHP Notice:  Undefined variable: themeselector in C:\p2\xampp\htdocs\getsimplecms1\admin\theme-edit.php on line 86
[13-Dec-2013 17:41:16 Europe/Berlin] PHP Notice:  Undefined variable: themeselector in C:\p2\xampp\htdocs\getsimplecms1\admin\theme-edit.php on line 86
[13-Dec-2013 17:41:20 Europe/Berlin] PHP Notice:  Undefined variable: themeselector in C:\p2\xampp\htdocs\getsimplecms1\admin\theme-edit.php on line 86
[13-Dec-2013 17:41:26 Europe/Berlin] PHP Notice:  Undefined variable: themeselector in C:\p2\xampp\htdocs\getsimplecms1\admin\theme-edit.php on line 86
[13-Dec-2013 17:42:19 Europe/Berlin] PHP Notice:  Undefined variable: themeselector in C:\p2\xampp\htdocs\getsimplecms1\admin\theme-edit.php on line 86
[13-Dec-2013 17:46:32 Europe/Berlin] PHP Notice:  Undefined variable: description in C:\p2\xampp\htdocs\getsimplecms1\admin\inc\theme_functions.php on line 119
